,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
529,Acridotheres tristis,Common Myna,"58/59 Mayur Colony, Kothrud",18.5048,73.8176,9-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
530,Acridotheres tristis,Common Myna,"58/59 Mayur Colony, Kothrud",18.5048,73.8176,9-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
531,Acridotheres tristis,Common Myna,"58/59 Mayur Colony, Kothrud",18.5048,73.8176,3-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
532,Acridotheres tristis,Common Myna,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",21.0212,75.566,6-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
533,Acridotheres tristis,Common Myna,"Mamurabad Road, Jalgaon, Maharashtra, IN (21.03, 75.572)",21.0298,75.5716,5-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
534,Acridotheres tristis,Common Myna,"Krushi Vidnyan Kendra,Mamurabad Road, Maharashtra, IN (21.041, 75.57)",21.041,75.5697,5-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
535,Acridotheres tristis,Common Myna,"Shivaji Nagar,Jalgaon, Maharashtra, IN (21.025, 75.566)",21.0249,75.5665,3-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
536,Acridotheres tristis,Common Myna,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,2-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
537,Acridotheres tristis,Common Myna,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,2-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
538,Acridotheres tristis,Common Myna,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,2-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
539,Acridotheres tristis,Common Myna,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
