,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
36,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
37,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,18-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
38,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,17-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
39,Passer domesticus,House Sparrow,atur park,19.051,72.905,15-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
40,Passer domesticus,House Sparrow,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,5-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
41,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,30-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
42,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,10-Mar-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
43,Passer domesticus,House Sparrow,"Dombivli, Maharashtra, IN (19.219, 73.069)",19.2193,73.0692,2-Nov-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
44,Passer domesticus,House Sparrow,Malhargad,18.4113,74.0485,6-Oct-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
45,Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,6-Jul-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
46,Passer domesticus,House Sparrow,swami samarth Garden,19.0572,72.9237,11-May-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
47,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,30-Apr-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
48,Passer domesticus,House Sparrow,"Chhatri Lake--Backwaters, Amravati",20.8955,77.7764,18-Mar-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
49,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,1-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
50,Passer domesticus,House Sparrow,At My Home,20.5803,79.679,19-Apr-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
51,Passer domesticus,House Sparrow,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,30-May-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
52,Passer domesticus,House Sparrow,Bhigwan -- Diksal,18.3116,74.7927,16-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
53,Passer domesticus,House Sparrow,"Telhara Reservoir, Nagpur",21.0643,79.014,12-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
54,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11-Jul-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
55,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,14-Jun-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
56,Passer domesticus,House Sparrow,"Rutuparna Society, Baner",18.564,73.786,15-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
57,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,15-May-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
58,Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
59,Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,25-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
60,Passer domesticus,House Sparrow,"Bhamdeli Road, Moharli, Maharashtra, IN (20.188, 79.334)",20.1881,79.3343,17-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
61,Passer domesticus,House Sparrow,"Bhamdeli Road, Moharli, Maharashtra, IN (20.188, 79.334)",20.1881,79.3343,17-Apr-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
62,Passer domesticus,House Sparrow,"Upper lake , CME, Pune",18.6063,73.8484,4-Jan-2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
63,Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,19-Sep-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
64,Passer domesticus,House Sparrow,Bhandup East,19.1507,72.9487,1-Aug-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
65,Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,25-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
66,Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,6-Jul-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
67,Passer domesticus,House Sparrow,"Riverside road, Anandnagar, Pune",18.4795,73.8149,25-Jun-2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
68,Passer domesticus,House Sparrow,Pune University,18.5516,73.8256,18-Dec-2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
69,Passer domesticus,House Sparrow,Pune,18.5204,73.8567,28-Jan-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
70,Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,4-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
71,Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,4-Nov-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
72,Passer domesticus,House Sparrow,Erandwane,18.5055,73.8304,13-Mar-2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
73,Passer domesticus,House Sparrow,"Sarasbaug, Pune",18.501,73.8529,6-Jun-2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
74,Passer domesticus,House Sparrow,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,10-May-2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
