,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
967,Ceryle rudis,Pied Kingfisher,"Chandrapur, Maharashtra 442401, India",20.2483827,79.360689,8-May-2020,https://static.inaturalist.org/photos/88327069/medium.jpeg?1596609739
968,Halcyon smyrnensis,White-throated Kingfisher,"Songaon Shendre Road, Baramati Tehsil, Pune District, Supe, Maharashtra 412204, India",18.3415649,74.3647834,8-May-2020,https://static.inaturalist.org/photos/88393024/medium.jpeg?1596647335
969,Alcedo atthis,Common Kingfisher,"Songaon Shendre Road, Baramati Tehsil, Pune District, Supe, Maharashtra 412204, India",18.3415649,74.3647834,8-May-2020,https://static.inaturalist.org/photos/88393040/medium.jpeg?1596647340
970,Alcedo atthis,Common Kingfisher,"Mulund - Airoli Bridge Road, Mulund East, Mumbai, Maharashtra 400081, India",19.154546,72.958065,8-Jun-2020,https://static.inaturalist.org/photos/88497093/medium.jpeg?1596689961
971,Halcyon smyrnensis,White-throated Kingfisher,"Joggers Park, Aurangabad, MH, IN",19.88826656,75.35838721,8-Jun-2020,https://static.inaturalist.org/photos/88499762/medium.jpg?1596691989
972,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Jun-2020,https://static.inaturalist.org/photos/88515620/medium.jpeg?1596707336
973,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Jun-2020,https://static.inaturalist.org/photos/88515624/medium.jpeg?1596707339
974,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Murud, Raigad, Roha, Maharashtra 402401, India",18.4049302,72.9379696,8-Jun-2020,https://static.inaturalist.org/photos/88529163/medium.jpeg?1596717269
975,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88566691/medium.jpeg?1596732824
976,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88566703/medium.jpeg?1596732827
977,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88566720/medium.jpeg?1596732833
978,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88566729/medium.jpeg?1596732836
979,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88568650/medium.jpeg?1596733432
980,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88568660/medium.jpeg?1596733434
981,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88568668/medium.jpeg?1596733437
982,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,8-Jun-2020,https://static.inaturalist.org/photos/88568678/medium.jpeg?1596733440
983,Alcedo atthis,Common Kingfisher,"Sector 58, Seawoods, Navi Mumbai, Maharashtra 400706, India",19.0067804,73.0146996,8-Jul-2020,https://static.inaturalist.org/photos/88672683/medium.jpeg?1596781682
984,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Jul-2020,https://static.inaturalist.org/photos/88675864/medium.jpeg?1596785109
985,Halcyon smyrnensis,White-throated Kingfisher,"Kalher, Bhiwandi, Maharashtra, India",19.2461434,73.0178906,8-Jul-2020,https://static.inaturalist.org/photos/88682685/medium.jpeg?1596792273
986,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Jul-2020,https://static.inaturalist.org/photos/88683016/medium.jpeg?1596792693
987,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Jul-2020,https://static.inaturalist.org/photos/88683047/medium.jpeg?1596792723
988,Alcedo atthis,Common Kingfisher,"Mulund - Airoli Bridge Road, Mulund East, Mumbai, Maharashtra 400081, India",19.154546,72.958065,8-Jul-2020,https://static.inaturalist.org/photos/88683535/medium.jpeg?1596793311
989,Alcedo atthis,Common Kingfisher,"AMBER HARMONY, KANCHAN GAON, THAKURLI, Dombivli East, Dombivli, Maharashtra 421301, India",19.23002868,73.11077155,8-Aug-2020,https://static.inaturalist.org/photos/88840600/medium.jpeg?1596879181
990,Alcedo atthis,Common Kingfisher,"Solapur - Pune Hwy, Bhigwan, Maharashtra 413130, India",18.2915827,74.77408,8-Aug-2020,https://static.inaturalist.org/photos/88849537/medium.jpeg?1596886821
991,Alcedo atthis,Common Kingfisher,"Solapur - Pune Hwy, Bhigwan, Maharashtra 413130, India",18.2915827,74.77408,8-Aug-2020,https://static.inaturalist.org/photos/88849571/medium.jpeg?1596886844
992,Halcyon smyrnensis,White-throated Kingfisher,"Oswal Nagar, Sanmitra Nagar, Ratnagiri, Maharashtra 415612, India",16.99567353,73.3050281,8-Aug-2020,https://static.inaturalist.org/photos/88877648/medium.jpeg?1596899512
993,Alcedo atthis,Common Kingfisher,"AMBER HARMONY, KANCHAN GAON, THAKURLI, Dombivli East, Dombivli, Maharashtra 421301, India",19.23003058,73.11077155,8-Sep-2020,https://static.inaturalist.org/photos/89030579/medium.jpeg?1596965945
994,Halcyon smyrnensis,White-throated Kingfisher,"Chandrapur, Maharashtra 442401, India",20.2483827,79.360689,8-Sep-2020,https://static.inaturalist.org/photos/89032424/medium.jpeg?1596967498
995,Alcedo atthis,Common Kingfisher,"Ratanwadi Village, Maharashtra 422604, India",19.5003491,73.7025479,8-Sep-2020,https://static.inaturalist.org/photos/89034803/medium.jpeg?1596969319
996,Alcedo atthis,Common Kingfisher,"Kumbhargaon, Maharashtra 413132, India",18.2789182,74.7802955,8-Sep-2020,https://static.inaturalist.org/photos/89049643/medium.jpeg?1596977518
997,Halcyon smyrnensis,White-throated Kingfisher,"Madhuban Co-op Hsg Socy Ltd, Sainik Nagar, Jogeshwari, Mumbai, Maharashtra 400102, India",19.132932,72.841569,8-Oct-2020,https://static.inaturalist.org/photos/89213810/medium.jpeg?1597040329
998,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419055,72.9646284,8-Nov-2020,https://static.inaturalist.org/photos/89401812/medium.jpg?1597146578
999,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,8-Nov-2020,https://static.inaturalist.org/photos/89413902/medium.jpg?1597153067
1000,Pelargopsis capensis,Stork-billed Kingfisher,"Dhamapur, Maharashtra 416605, India",16.0372481,73.5770801,8-Dec-2020,https://static.inaturalist.org/photos/89557177/medium.jpg?1597224661
1001,Alcedo atthis,Common Kingfisher,"Dhamapur, Maharashtra 416605, India",16.0372481,73.5770801,8-Dec-2020,https://static.inaturalist.org/photos/89557178/medium.jpg?1597224664
1002,Halcyon smyrnensis,White-throated Kingfisher,"Dhamapur, Maharashtra 416605, India",16.0372481,73.5770801,8-Dec-2020,https://static.inaturalist.org/photos/89557192/medium.jpg?1597224673
1003,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573659/medium.jpg?1597236754
1004,Halcyon smyrnensis,White-throated Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573651/medium.jpg?1597236751
1005,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573666/medium.jpg?1597236757
1006,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573671/medium.jpg?1597236760
1007,Ceryle rudis,Pied Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573677/medium.jpg?1597236764
1008,Alcedo atthis,Common Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573680/medium.jpg?1597236767
1009,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573687/medium.jpg?1597236770
1010,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.5319037,73.5151341,8-Dec-2020,https://static.inaturalist.org/photos/89573695/medium.jpg?1597236773
1011,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,13-Aug-2020,https://static.inaturalist.org/photos/89711022/medium.jpg?1597304798
1012,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,13-Aug-2020,https://static.inaturalist.org/photos/89711044/medium.jpg?1597304814
1013,Halcyon smyrnensis,White-throated Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,13-Aug-2020,https://static.inaturalist.org/photos/89711070/medium.jpg?1597304832
1014,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,13-Aug-2020,https://static.inaturalist.org/photos/89711161/medium.jpg?1597304911
1015,Alcedo atthis,Common Kingfisher,"Seawoods, Navi Mumbai, Maharashtra, India",19.0171035,73.0175089,13-Aug-2020,https://static.inaturalist.org/photos/89721780/medium.jpg?1597315080
1016,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,13-Aug-2020,https://static.inaturalist.org/photos/89727300/medium.jpg?1597319484
1017,Halcyon smyrnensis,White-throated Kingfisher,Hatnur Dam and Surrounding Areas,21.0738364,75.9456553,13-Aug-2020,https://static.inaturalist.org/photos/89727879/medium.jpg?1597319844
1018,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Murud, Raigad, Roha, Maharashtra 402401, India",18.4049302,72.9379696,13-Aug-2020,https://static.inaturalist.org/photos/89735678/medium.jpg?1597324153
