Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,29/10/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,07/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,13/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,03/02/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Bena, Near Vasai Beach",19.3469,72.7909,04/11/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Pipla Road,21.0843,79.1062,22/01/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Kumbhargoan Bhigwan,18.2642,74.8046,03/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,02/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Bhandup Pumping Station, Mumbai",19.1411,72.961,01/10/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,16/10/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Riverside road, Anandnagar, Pune",18.4795,73.8149,25/06/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Yavli,17.8299,75.5978,09/11/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Kiraksal,17.6323,74.5659,26/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,10/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Ambazari Lake, Nagpur",21.1292,79.0329,14/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,shiwar farms sange,19.6377,72.9956,13/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Sinhagad Valley,18.3799,73.7714,14/02/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Riverside road, Anandnagar, Pune",18.4795,73.8149,28/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Seawoods--Navi Mumbai,19.0101,73.0094,05/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"Kasarsai Dam, Pune",18.6193,73.6603,20/01/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Pratap Encalve,19.908,73.809,10/11/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Gandheli Dam Aurangabad,19.83,75.3053,03/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Sinhagad Valley,18.3799,73.7714,18/02/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Beltarodi,21.0672,79.0794,25/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Shivaji University,16.6833,74.2535,27/12/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,New Bor WLS,20.9677,78.7104,18/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,"MIT Institute of Design, Loni Kalbhor",18.4924,74.0255,18/12/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Lanius schach,Long-tailed Shrike,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.776,04/05/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
