Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,07/06/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,07/06/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,28/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Sahakar Nagar, Nagpur",21.1443,79.0587,04/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,18/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,17/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,atur park,19.051,72.905,15/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,05/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,30/03/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,10/03/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Dombivli, Maharashtra, IN (19.219, 73.069)",19.2193,73.0692,02/11/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Malhargad,18.4113,74.0485,06/10/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,06/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,swami samarth Garden,19.0572,72.9237,11/05/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,30/04/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Chhatri Lake--Backwaters, Amravati",20.8955,77.7764,18/03/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,01/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,At My Home,20.5803,79.679,19/04/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,30/05/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhigwan -- Diksal,18.3116,74.7927,16/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Telhara Reservoir, Nagpur",21.0643,79.014,12/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,14/06/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Rutuparna Society, Baner",18.564,73.786,15/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,15/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Goregaon (East), Mumbai, Maharashtra, IN",19.1765,72.8763,21/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,25/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Bhamdeli Road, Moharli, Maharashtra, IN (20.188, 79.334)",20.1881,79.3343,17/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Bhamdeli Road, Moharli, Maharashtra, IN (20.188, 79.334)",20.1881,79.3343,17/04/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Upper lake , CME, Pune",18.6063,73.8484,04/01/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,21.0436,75.8483,19/09/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Bhandup East,19.1507,72.9487,01/08/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,25/06/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Pimprisekam-River Bhogawati,21.0483,75.8638,06/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Riverside road, Anandnagar, Pune",18.4795,73.8149,25/06/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Pune University,18.5516,73.8256,18/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Pune,18.5204,73.8567,28/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,04/11/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Bhandup Pumping Station, Mumbai",19.1411,72.961,04/11/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,Erandwane,18.5055,73.8304,13/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Sarasbaug, Pune",18.501,73.8529,06/06/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Mamurabad Road ,Shivaji Nagar,Jalgaon",21.0256,75.5723,10/05/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,11/07/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,07/06/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Mukpath village, Aurangabad",20.5133,75.7322,07/06/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Kanalada Road, Jalgaon, Maharashtra, IN (21.021, 75.564)",21.0207,75.5636,09/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Terrace Of Jeevan Sarita, Tejpal Scheme",19.1068,72.8491,29/03/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"Nandan Van Colony Bhusawal, Maharashtra, IN (21.042, 75.776)",21.0418,75.7756,19/03/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Passer domesticus,House Sparrow,"RIVERWATER PUMP , CANAL,Gahukhede, Maharashtra, IN (21.057, 75.87)",21.0567,75.8702,17/09/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
