,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1012,1048,Halcyon smyrnensis,White-throated Kingfisher,Baramati,18.17917912,74.60779723,16/09/2020,https://static.inaturalist.org/photos/95520559/medium.jpeg?1600257613
1013,1049,Ceyx erithaca,Black-backed Dwarf-Kingfisher,Guhagar,17.46419112,73.1960031,19/09/2020,https://static.inaturalist.org/photos/96038351/medium.jpeg?1600531103
1014,1050,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra 400042, India",19.1419055,72.96462840000001,19/09/2020,https://static.inaturalist.org/photos/96048281/medium.jpg?1600534411
1015,1051,Alcedo atthis,Common Kingfisher,"Sector 58, Seawoods, Navi Mumbai, Maharashtra 400706, India",19.006780399999997,73.01469959999999,21/09/2020,https://static.inaturalist.org/photos/96412370/medium.jpeg?1600682432
1016,1052,Halcyon smyrnensis,White-throated Kingfisher," Chincholi Morachi, Tal: Shirur, pune, Maharashtra 412218, India",18.827156,74.16144,29/09/2020,https://static.inaturalist.org/photos/97911670/medium.jpeg?1601382267
1017,1053,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Tikujini Wadi, Thane West, Thane, Maharashtra, India",19.23693828,72.96362925,10/03/2020,https://static.inaturalist.org/photos/98482466/medium.jpeg?1601695431
1018,1054,Halcyon smyrnensis,White-throated Kingfisher,Baramati,18.17917625,74.60779689,10/03/2020,https://static.inaturalist.org/photos/98500714/medium.jpeg?1601713330
1019,1055,Halcyon smyrnensis,White-throated Kingfisher,"Harivitthal Nagar, Jalgaon, Maharashtra 425001, India",20.99549001,75.54439377,10/06/2020,https://static.inaturalist.org/photos/99056871/medium.jpeg?1602000958
1020,1056,Halcyon smyrnensis,White-throated Kingfisher,"Bhandup Pumping Station, Mumbai, Maharashtra, India",19.14192483,72.96462536,10/08/2020,https://static.inaturalist.org/photos/99301995/medium.jpg?1602138135
1021,1057,Alcedo atthis,Common Kingfisher,"Navi Mumbai, Maharashtra 400706, India",19.01412156,73.0053537,14/10/2020,https://static.inaturalist.org/photos/100223585/medium.jpeg?1602656274
1022,1058,Ceryle rudis,Pied Kingfisher,"Sudgaon, Maharashtra, India",21.05754549,75.84051467,17/10/2020,https://static.inaturalist.org/photos/100660359/medium.jpeg?1602942353
1023,1059,Alcedo atthis,Common Kingfisher,"Kalote Mokashi, Maharashtra, India",18.87413324,73.29179149,22/10/2020,https://static.inaturalist.org/photos/101427917/medium.jpeg?1603340448
1024,1060,Halcyon smyrnensis,White-throated Kingfisher,"Pimprisekam, Maharashtra 425307, India",21.04812512,75.86857092,22/10/2020,https://static.inaturalist.org/photos/101478799/medium.jpeg?1603383423
1025,1061,Halcyon smyrnensis,White-throated Kingfisher,"Kirti Nagar, Akola, Maharashtra 444001, India",20.69252483,77.01774426,22/10/2020,https://static.inaturalist.org/photos/101492617/medium.jpeg?1603390137
1026,1062,Halcyon smyrnensis,White-throated Kingfisher,"Tigaon, Maharashtra 441902, India",21.29779913,80.33431146,25/10/2020,https://static.inaturalist.org/photos/101846356/medium.jpeg?1603604715
