,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
34,35,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,28/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
35,36,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,28/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
36,37,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,28/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
37,38,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,20/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
38,39,Anas poecilorhyncha,Indian Spot-billed Duck,"kumbhargoan dock, Kumbhargaon, Maharashtra, IN (18.273, 74.796)",18.2727,74.7957,24/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
39,40,Anas poecilorhyncha,Indian Spot-billed Duck,Bhigwan -- Kumbhargaon Bird Sanctuary,18.2887,74.77600000000001,16/01/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
40,41,Anas poecilorhyncha,Indian Spot-billed Duck,Kavdi Pat,18.5054,74.0006,12/11/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
41,42,Anas poecilorhyncha,Indian Spot-billed Duck,Inside the gate  of pashan lake,18.5363,73.7834,28/11/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
42,43,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,20/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
43,44,Anas poecilorhyncha,Indian Spot-billed Duck,"Riverside road, Anandnagar, Pune",18.4795,73.8149,03/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
44,45,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
45,46,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
